,question,distractor3,distractor1,distractor2,correct_answer,support,answer,question_with_text,choice_list,label,predicted_index,predicted_answer
374,"According to the special theory of relativity, no physical object can equal or exceed the speed of what?",weight,air,energy,light,"A result of the special theory of relativity is that no physical object can equal or exceed the speed of light. From the equation for relativistic mass, it can be seen that as the object is accelerated faster and faster, its mass becomes greater and greater. The greater mass would require an even greater force to accelerate it. If the velocity of the mass ever reached the speed of light, the denominator of the equation would become zero and the mass would become infinite. The energy required to accelerate an infinite mass would also be infinite. The fact that light itself travels at the speed , implies that light has a zero rest mass. Of course, light is never at rest.",light,"Question: According to the special theory of relativity, no physical object can equal or exceed the speed of what?. Supporting Text: A result of the special theory of relativity is that no physical object can equal or exceed the speed of light. From the equation for relativistic mass, it can be seen that as the object is accelerated faster and faster, its mass becomes greater and greater. The greater mass would require an even greater force to accelerate it. If the velocity of the mass ever reached the speed of light, the denominator of the equation would become zero and the mass would become infinite. The energy required to accelerate an infinite mass would also be infinite. The fact that light itself travels at the speed , implies that light has a zero rest mass. Of course, light is never at rest..",['weight' 'energy' 'air' 'light'],3,3,light
375,What is another word for cellular drinking?,altostratus,hypothalamus,cellular hydration,pinocytosis,"Pinocytosis , or cellular drinking, occurs when the plasma membrane folds inward to form a channel allowing dissolved substances to enter the cell, as shown in Figure below . When the channel is closed, the liquid is encircled within a pinocytic vesicle.",pinocytosis,"Question: What is another word for cellular drinking?. Supporting Text: Pinocytosis , or cellular drinking, occurs when the plasma membrane folds inward to form a channel allowing dissolved substances to enter the cell, as shown in Figure below . When the channel is closed, the liquid is encircled within a pinocytic vesicle..",['altostratus' 'cellular hydration' 'hypothalamus' 'pinocytosis'],3,3,pinocytosis
376,What do you call water that flows out of the ground where an aquifer meets the surface?,stream,oasis,waterfall,spring,Water that flows out of the ground where an aquifer meets the surface is called a spring. Spring water may contain dissolved minerals. It may also be heated by magma in the crust. Heated groundwater that erupts from the ground under pressure is called a geyser.,spring,Question: What do you call water that flows out of the ground where an aquifer meets the surface?. Supporting Text: Water that flows out of the ground where an aquifer meets the surface is called a spring. Spring water may contain dissolved minerals. It may also be heated by magma in the crust. Heated groundwater that erupts from the ground under pressure is called a geyser..,['stream' 'waterfall' 'oasis' 'spring'],3,3,spring
377,What do you call the basic units of the structure and function of living things?,proteins,molecules,enzymes,cells,"If you look at living matter with a microscope—even a simple light microscope—you will see that it consists of cells. Cells are the basic units of the structure and function of living things. They are the smallest units that can carry out the processes of life. All organisms are made up of one or more cells, and all cells have many of the same structures and carry out the same basic life processes. Knowing the structures of cells and the processes they carry out is necessary to understanding life itself.",cells,"Question: What do you call the basic units of the structure and function of living things?. Supporting Text: If you look at living matter with a microscope—even a simple light microscope—you will see that it consists of cells. Cells are the basic units of the structure and function of living things. They are the smallest units that can carry out the processes of life. All organisms are made up of one or more cells, and all cells have many of the same structures and carry out the same basic life processes. Knowing the structures of cells and the processes they carry out is necessary to understanding life itself..",['proteins' 'enzymes' 'molecules' 'cells'],3,3,cells
378,What is the conversion of a solid to a gas called?,education,speciation,amplification,sublimation,"(a) Sublimation is the conversion of a solid (relatively high density) to a gas (much lesser density). This process yields a much greater dispersal of matter, since the molecules will occupy a much greater volume after the solid-to-gas transition. (b) Condensation is the conversion of a gas (relatively low density) to a liquid (much greater density). This process yields a much lesser dispersal of matter, since the molecules will occupy a much lesser volume after the solid-to-gas transition. (c) The process in question is dilution. The food dye molecules initially occupy a much smaller volume (the drop of dye solution) than they occupy once the process is complete (in the full glass of water). The process therefore entails a greater dispersal of matter. The process may also yield a more uniform dispersal of matter, since the initial state of the system involves two regions of different dye concentrations (high in the drop, zero in the water), and the final state of the system contains a single dye concentration throughout.",sublimation,"Question: What is the conversion of a solid to a gas called?. Supporting Text: (a) Sublimation is the conversion of a solid (relatively high density) to a gas (much lesser density). This process yields a much greater dispersal of matter, since the molecules will occupy a much greater volume after the solid-to-gas transition. (b) Condensation is the conversion of a gas (relatively low density) to a liquid (much greater density). This process yields a much lesser dispersal of matter, since the molecules will occupy a much lesser volume after the solid-to-gas transition. (c) The process in question is dilution. The food dye molecules initially occupy a much smaller volume (the drop of dye solution) than they occupy once the process is complete (in the full glass of water). The process therefore entails a greater dispersal of matter. The process may also yield a more uniform dispersal of matter, since the initial state of the system involves two regions of different dye concentrations (high in the drop, zero in the water), and the final state of the system contains a single dye concentration throughout..",['education' 'amplification' 'speciation' 'sublimation'],3,3,sublimation
379,Which form of dialysis has a patient’s blood pass through a length of tubing that travels through an artificial kidney machine?,arterial dialysis,peritoneal dialysis,limbic dialysis,hemodialysis,"In one form of dialysis, called hemodialysis, a patient’s blood is passed though a length of tubing that travels through an artificial kidney machine (also called adialysis machine). A section of tubing composed of a semipermeable membrane is immersed in a solution of sterile water, glucose, amino acids, and certain electrolytes. The osmotic pressure of the blood forces waste molecules and excess water through the membrane into the sterile solution. Red and white blood cells are too large to pass through the membrane, so they remain in the blood. After being cleansed in this way, the blood is returned to the body. Dialysis is a continuous process, as the osmosis of waste materials and excess water takes time. Typically, 5–10 lb of waste-containing fluid is removed in each dialysis session, which can last 2–8 hours and must be performed several times a week. Although some patients have been on dialysis for 30 or more years, dialysis is always a temporary solution because waste materials are constantly building up in the bloodstream. A more permanent solution is a kidney transplant. Cell walls are semipermeable membranes, so the osmotic pressures of the body’s fluids have important biological consequences. If solutions of different osmolarity exist on either side of the cells, solvent (water) may pass into or out of the cells, sometimes with disastrous results. Consider what happens if red blood cells are placed in a hypotonic solution, meaning a solution of lower osmolarity than the liquid inside the cells. The cells swell up as water enters them, disrupting cellular activity and eventually causing the cells to burst. This process is called hemolysis. If red blood cells are placed in ahypertonic solution, meaning one having a higher osmolarity than exists inside the cells, water leaves the cells to dilute the external solution, and the red blood cells shrivel and die. This process is called crenation. Only if red blood cells are placed inisotonic solutions that have the same osmolarity as exists inside the cells are they unaffected by negative effects of osmotic pressure. Glucose solutions of about 0.31 M, or sodium chloride solutions of about 0.16 M, are isotonic with blood plasma.",hemodialysis,"Question: Which form of dialysis has a patient’s blood pass through a length of tubing that travels through an artificial kidney machine?. Supporting Text: In one form of dialysis, called hemodialysis, a patient’s blood is passed though a length of tubing that travels through an artificial kidney machine (also called adialysis machine). A section of tubing composed of a semipermeable membrane is immersed in a solution of sterile water, glucose, amino acids, and certain electrolytes. The osmotic pressure of the blood forces waste molecules and excess water through the membrane into the sterile solution. Red and white blood cells are too large to pass through the membrane, so they remain in the blood. After being cleansed in this way, the blood is returned to the body. Dialysis is a continuous process, as the osmosis of waste materials and excess water takes time. Typically, 5–10 lb of waste-containing fluid is removed in each dialysis session, which can last 2–8 hours and must be performed several times a week. Although some patients have been on dialysis for 30 or more years, dialysis is always a temporary solution because waste materials are constantly building up in the bloodstream. A more permanent solution is a kidney transplant. Cell walls are semipermeable membranes, so the osmotic pressures of the body’s fluids have important biological consequences. If solutions of different osmolarity exist on either side of the cells, solvent (water) may pass into or out of the cells, sometimes with disastrous results. Consider what happens if red blood cells are placed in a hypotonic solution, meaning a solution of lower osmolarity than the liquid inside the cells. The cells swell up as water enters them, disrupting cellular activity and eventually causing the cells to burst. This process is called hemolysis. If red blood cells are placed in ahypertonic solution, meaning one having a higher osmolarity than exists inside the cells, water leaves the cells to dilute the external solution, and the red blood cells shrivel and die. This process is called crenation. Only if red blood cells are placed inisotonic solutions that have the same osmolarity as exists inside the cells are they unaffected by negative effects of osmotic pressure. Glucose solutions of about 0.31 M, or sodium chloride solutions of about 0.16 M, are isotonic with blood plasma..","['arterial dialysis' 'limbic dialysis' 'peritoneal dialysis'
 'hemodialysis']",3,3,hemodialysis
380,What are the only type of elements capable of changing into different elements?,adjacent elements,noble gases,metalloids,radioactive elements,"Some elements naturally change into different elements. To understand how this happens, first recall what an element is. An element is a unique substance, with a unique number of protons in the nucleus of its atoms. No two elements have the same number of protons. For example, carbon atoms always have six protons. If an atom has a different number of protons, it isn’t carbon. For an element to change into a different element, then, it must change the number of protons in the nucleus of its atoms. This happens only in radioactive elements.",radioactive elements,"Question: What are the only type of elements capable of changing into different elements?. Supporting Text: Some elements naturally change into different elements. To understand how this happens, first recall what an element is. An element is a unique substance, with a unique number of protons in the nucleus of its atoms. No two elements have the same number of protons. For example, carbon atoms always have six protons. If an atom has a different number of protons, it isn’t carbon. For an element to change into a different element, then, it must change the number of protons in the nucleus of its atoms. This happens only in radioactive elements..",['adjacent elements' 'metalloids' 'noble gases' 'radioactive elements'],3,3,radioactive elements
381,What does the inside of all cells also contain?,chromosomes,chloroplasm,protein,cytosol,"The inside of all cells also contain a jelly-like substance called cytosol . Cytosol is composed of water and other molecules, including enzymes , which are proteins that speed up the cell’s chemical reactions. Everything in the cell sits in the cytosol, like fruit in a jello mold. The term cytoplasm refers to the cytosol and all of the organelles, the specialized compartments of the cell. The cytoplasm does not include the nucleus. As a prokaryotic cell does not have a nucleus, the DNA is in the cytoplasm.",cytosol,"Question: What does the inside of all cells also contain?. Supporting Text: The inside of all cells also contain a jelly-like substance called cytosol . Cytosol is composed of water and other molecules, including enzymes , which are proteins that speed up the cell’s chemical reactions. Everything in the cell sits in the cytosol, like fruit in a jello mold. The term cytoplasm refers to the cytosol and all of the organelles, the specialized compartments of the cell. The cytoplasm does not include the nucleus. As a prokaryotic cell does not have a nucleus, the DNA is in the cytoplasm..",['chromosomes' 'protein' 'chloroplasm' 'cytosol'],3,3,cytosol
382,"What anatomical structures insulate, protect and provide sensory input?",salivary glands,teeth,fingernails,hair,"Hair helps to insulate and protect the body. Head hair is especially important in preventing heat loss from the body. Eyelashes and eyebrows protect the eyes from water, dirt, and other irritants. Hairs in the nose trap dust particles and microorganisms in the air and prevent them from reaching the lungs. Hair also provides sensory input when objects brush against it or it sways in moving air.",hair,"Question: What anatomical structures insulate, protect and provide sensory input?. Supporting Text: Hair helps to insulate and protect the body. Head hair is especially important in preventing heat loss from the body. Eyelashes and eyebrows protect the eyes from water, dirt, and other irritants. Hairs in the nose trap dust particles and microorganisms in the air and prevent them from reaching the lungs. Hair also provides sensory input when objects brush against it or it sways in moving air..",['salivary glands' 'fingernails' 'teeth' 'hair'],3,3,hair
383,"Known for its beautiful rings, what is the second largest planet in the solar system?",Venus,Mars,jupiter,saturn,"Saturn, shown in Figure below , is famous for its beautiful rings. Saturn is the second largest planet in the solar system. Saturn’s mass is about 95 times Earth's mass. The gas giant is 755 times Earth’s volume. Despite its large size, Saturn is the least dense planet in our solar system. Saturn is actually less dense than water. This means that if there were a bathtub big enough, Saturn would float! In Roman mythology, Saturn was the father of Jupiter. Saturn orbits the Sun once about every 30 Earth years.",saturn,"Question: Known for its beautiful rings, what is the second largest planet in the solar system?. Supporting Text: Saturn, shown in Figure below , is famous for its beautiful rings. Saturn is the second largest planet in the solar system. Saturn’s mass is about 95 times Earth's mass. The gas giant is 755 times Earth’s volume. Despite its large size, Saturn is the least dense planet in our solar system. Saturn is actually less dense than water. This means that if there were a bathtub big enough, Saturn would float! In Roman mythology, Saturn was the father of Jupiter. Saturn orbits the Sun once about every 30 Earth years..",['Venus' 'jupiter' 'Mars' 'saturn'],3,3,saturn
384,What kind of waves are used in radar guns?,radio waves,x-rays,WIFI,microwaves,Electromagnetic waves carry energy through matter or space as vibrating electric and magnetic fields. Electromagnetic waves have a wide range of wavelengths and frequencies. The complete range is called the electromagnetic spectrum. The Figure below shows all the waves of the spectrum. The waves used in radar guns are microwaves.,microwaves,Question: What kind of waves are used in radar guns?. Supporting Text: Electromagnetic waves carry energy through matter or space as vibrating electric and magnetic fields. Electromagnetic waves have a wide range of wavelengths and frequencies. The complete range is called the electromagnetic spectrum. The Figure below shows all the waves of the spectrum. The waves used in radar guns are microwaves..,['radio waves' 'WIFI' 'x-rays' 'microwaves'],3,3,microwaves
385,On what lobe of the liver is the gallbladder near?,internal lobe,left lobe,central lobe,right lobe,"The Gallbladder The gallbladder is 8–10 cm (~3–4 in) long and is nested in a shallow area on the posterior aspect of the right lobe of the liver. This muscular sac stores, concentrates, and, when stimulated, propels the bile into the duodenum via the common bile duct. It is divided into three regions. The fundus is the widest portion and tapers medially into the body, which in turn narrows to become the neck. The neck angles slightly superiorly as it approaches the hepatic duct. The cystic duct is 1–2 cm (less than 1 in) long and turns inferiorly as it bridges the neck and hepatic duct. The simple columnar epithelium of the gallbladder mucosa is organized in rugae, similar to those of the stomach. There is no submucosa in the gallbladder wall. The wall’s middle, muscular coat is made of smooth muscle fibers. When these fibers contract, the gallbladder’s contents are ejected through the cystic duct and into the bile duct (Figure 23.27). Visceral peritoneum reflected from the liver capsule holds the gallbladder against the liver and forms the outer coat of the gallbladder. The gallbladder's mucosa absorbs water and ions from bile, concentrating it by up to 10-fold.",right lobe,"Question: On what lobe of the liver is the gallbladder near?. Supporting Text: The Gallbladder The gallbladder is 8–10 cm (~3–4 in) long and is nested in a shallow area on the posterior aspect of the right lobe of the liver. This muscular sac stores, concentrates, and, when stimulated, propels the bile into the duodenum via the common bile duct. It is divided into three regions. The fundus is the widest portion and tapers medially into the body, which in turn narrows to become the neck. The neck angles slightly superiorly as it approaches the hepatic duct. The cystic duct is 1–2 cm (less than 1 in) long and turns inferiorly as it bridges the neck and hepatic duct. The simple columnar epithelium of the gallbladder mucosa is organized in rugae, similar to those of the stomach. There is no submucosa in the gallbladder wall. The wall’s middle, muscular coat is made of smooth muscle fibers. When these fibers contract, the gallbladder’s contents are ejected through the cystic duct and into the bile duct (Figure 23.27). Visceral peritoneum reflected from the liver capsule holds the gallbladder against the liver and forms the outer coat of the gallbladder. The gallbladder's mucosa absorbs water and ions from bile, concentrating it by up to 10-fold..",['internal lobe' 'central lobe' 'left lobe' 'right lobe'],3,3,right lobe
386,"What process is used for cell growth, repair of cuts and replacement of worn out cells?",pollination,reproduction,binary fission,cell division,"Yes, just like this car, cells cannot last forever. Cells do eventually wear out. At that point, they need to be replaced. This is one reason that your cells divide. New cells that result after cells divide are also used for growth and to repair cuts.",cell division,"Question: What process is used for cell growth, repair of cuts and replacement of worn out cells?. Supporting Text: Yes, just like this car, cells cannot last forever. Cells do eventually wear out. At that point, they need to be replaced. This is one reason that your cells divide. New cells that result after cells divide are also used for growth and to repair cuts..",['pollination' 'binary fission' 'reproduction' 'cell division'],3,3,cell division
387,What do astronomers term the stretching of space that causes the distance between galaxies to increase?,contracting universe,maintaining universe,draining universe,expanding universe,"An inflating balloon is not exactly like the expanding Universe. The surface of a balloon has only two dimensions, while space has three dimensions. But it is true that space itself is stretching out between galaxies like the rubber stretches when a balloon is inflated. This stretching of space, which causes the distance between galaxies to increase, is what astronomers mean by the expansion of the Universe.",expanding universe,"Question: What do astronomers term the stretching of space that causes the distance between galaxies to increase?. Supporting Text: An inflating balloon is not exactly like the expanding Universe. The surface of a balloon has only two dimensions, while space has three dimensions. But it is true that space itself is stretching out between galaxies like the rubber stretches when a balloon is inflated. This stretching of space, which causes the distance between galaxies to increase, is what astronomers mean by the expansion of the Universe..","['contracting universe' 'draining universe' 'maintaining universe'
 'expanding universe']",3,3,expanding universe
388,What are the two types of digestive systems invertebrates may have?,gastric and monogastric,complete and simple,complete and fluid,complete and incomplete,Invertebrates have one of two types of digestive system. They are called incomplete and complete digestive systems. Both are shown in Figure below . An incomplete digestive system consists of a digestive cavity with one opening. The single opening serves as both mouth and anus. A complete digestive system consists of a digestive tract with two openings. One opening is the mouth. The other is the anus.,complete and incomplete,Question: What are the two types of digestive systems invertebrates may have?. Supporting Text: Invertebrates have one of two types of digestive system. They are called incomplete and complete digestive systems. Both are shown in Figure below . An incomplete digestive system consists of a digestive cavity with one opening. The single opening serves as both mouth and anus. A complete digestive system consists of a digestive tract with two openings. One opening is the mouth. The other is the anus..,"['gastric and monogastric' 'complete and fluid' 'complete and simple'
 'complete and incomplete']",3,3,complete and incomplete
389,What does the gradient of bicoid protein determine?,vertical-horizontal plane,shallow - posterior axis,east-west axis,anterior-posterior axis,,anterior-posterior axis,Question: What does the gradient of bicoid protein determine?. Supporting Text: .,"['vertical-horizontal plane' 'east-west axis' 'shallow - posterior axis'
 'anterior-posterior axis']",3,3,anterior-posterior axis
390,What term is used to describe a cancer that has spread?,ostracized,destabilized,galvanized,metastasized,"Isotopes can be very useful in scans to locate cancer cells. This patient has multiple tumors that have spread (metastasized) from the main tumor. A radioisotope has been attached to antibodies that bind to specific cancer cells. The very dark spots in the armpits, neck, and groin represent areas where tumor cells exist.",metastasized,"Question: What term is used to describe a cancer that has spread?. Supporting Text: Isotopes can be very useful in scans to locate cancer cells. This patient has multiple tumors that have spread (metastasized) from the main tumor. A radioisotope has been attached to antibodies that bind to specific cancer cells. The very dark spots in the armpits, neck, and groin represent areas where tumor cells exist..",['ostracized' 'galvanized' 'destabilized' 'metastasized'],3,3,metastasized
391,"What is the most abundant of all vertebrate classes, and the most recent to evolve?",mammals,bony fishes,reptiles,birds,"Of all vertebrate classes, birds are the most numerous, even though they evolved most recently. Why have birds been so successful? The answer is flight. Being able to fly opened up a whole new world to birds: the world of the air above the land and water.",birds,"Question: What is the most abundant of all vertebrate classes, and the most recent to evolve?. Supporting Text: Of all vertebrate classes, birds are the most numerous, even though they evolved most recently. Why have birds been so successful? The answer is flight. Being able to fly opened up a whole new world to birds: the world of the air above the land and water..",['mammals' 'reptiles' 'bony fishes' 'birds'],3,3,birds
392,How many calories of energy does one gram of protein provide?,5,2,1,4,"If you eat more protein than you need for these functions, the extra protein is used for energy. One gram of protein provides 4 Calories of energy, the same as carbohydrates. A 13-year-old needs to eat about 34 grams of protein a day. Figure below shows good food sources of protein.",4,"Question: How many calories of energy does one gram of protein provide?. Supporting Text: If you eat more protein than you need for these functions, the extra protein is used for energy. One gram of protein provides 4 Calories of energy, the same as carbohydrates. A 13-year-old needs to eat about 34 grams of protein a day. Figure below shows good food sources of protein..",['5' '1' '2' '4'],3,3,4
393,What is the cure of cancer known as?,regeneration,metabolism,rejuvenation,remission,"If leukemia is treated early, it usually can be cured. In fact, many cancers can be cured, which is known as remission, if treated early. Treatment of cancer often involves removing a tumor with surgery. This may be followed by other types of treatments. These treatments may include drugs (known as chemotherapy) and radiation therapy, which kill cancer cells.",remission,"Question: What is the cure of cancer known as?. Supporting Text: If leukemia is treated early, it usually can be cured. In fact, many cancers can be cured, which is known as remission, if treated early. Treatment of cancer often involves removing a tumor with surgery. This may be followed by other types of treatments. These treatments may include drugs (known as chemotherapy) and radiation therapy, which kill cancer cells..",['regeneration' 'rejuvenation' 'metabolism' 'remission'],3,3,remission
394,What is the outer layer of the exoskeleton called?,epithelium,bristle,epidermis,cuticle,"Segmented bodies with an exoskeleton . The outer layer of the exoskeleton is called the cuticle . It is made up of two layers. The outer layer, or exocuticle , is thin, waxy, and water-resistant. The inner layer is much thicker. The exocuticle is extremely thin in many soft-bodied insects, such as caterpillars.",cuticle,"Question: What is the outer layer of the exoskeleton called?. Supporting Text: Segmented bodies with an exoskeleton . The outer layer of the exoskeleton is called the cuticle . It is made up of two layers. The outer layer, or exocuticle , is thin, waxy, and water-resistant. The inner layer is much thicker. The exocuticle is extremely thin in many soft-bodied insects, such as caterpillars..",['epithelium' 'epidermis' 'bristle' 'cuticle'],3,3,cuticle
395,In what stage of their life cycle do insects begin developing their wings?,pupal,crystalline,larva,pupa,"During pupa stage, wing development begins, after which the adult emerges.",pupa,"Question: In what stage of their life cycle do insects begin developing their wings?. Supporting Text: During pupa stage, wing development begins, after which the adult emerges..",['pupal' 'larva' 'crystalline' 'pupa'],3,3,pupa
396,The speed of sound depends on what?,temperature,light,volume,medium,The speed of sound depends on the medium. Medium (20°C) Speed of Sound Waves (m/s).,medium,Question: The speed of sound depends on what?. Supporting Text: The speed of sound depends on the medium. Medium (20°C) Speed of Sound Waves (m/s)..,['temperature' 'volume' 'light' 'medium'],3,3,medium
397,Why is the life cycle of plants so complex?,asexual reproduction,metamorphosis,pollination process,alternation of generation,"The life cycle of all plants is complex because it is characterized by alternation of generations. Plants alternate between diploid sporophyte and haploid gametophyte generations, and between sexual and asexual reproduction. The ability to reproduce both sexually and asexually gives plants the flexibility to adapt to changing environments. Their complex life cycle allows for great variation.",alternation of generation,"Question: Why is the life cycle of plants so complex?. Supporting Text: The life cycle of all plants is complex because it is characterized by alternation of generations. Plants alternate between diploid sporophyte and haploid gametophyte generations, and between sexual and asexual reproduction. The ability to reproduce both sexually and asexually gives plants the flexibility to adapt to changing environments. Their complex life cycle allows for great variation..","['asexual reproduction' 'pollination process' 'metamorphosis'
 'alternation of generation']",3,3,alternation of generation
398,"While elements are represented by chemical symbols, chemical formulas represent what?",solutions,extracts,pollutants,compounds,"Elements are represented by chemical symbols. Examples are H for hydrogen and O for oxygen. Compounds are represented by chemical formulas . You’ve already seen the chemical formula for water. It’s H 2 O. The subscript 2 after the H shows that there are two atoms of hydrogen in a molecule of water. The O for oxygen has no subscript. When there is just one atom of an element in a molecule, no subscript is used. Table below shows some other examples of compounds and their chemical formulas.",compounds,"Question: While elements are represented by chemical symbols, chemical formulas represent what?. Supporting Text: Elements are represented by chemical symbols. Examples are H for hydrogen and O for oxygen. Compounds are represented by chemical formulas . You’ve already seen the chemical formula for water. It’s H 2 O. The subscript 2 after the H shows that there are two atoms of hydrogen in a molecule of water. The O for oxygen has no subscript. When there is just one atom of an element in a molecule, no subscript is used. Table below shows some other examples of compounds and their chemical formulas..",['solutions' 'pollutants' 'extracts' 'compounds'],3,3,compounds
399,What is a form of cell division in prokaryotic organisms that produces identical offspring?,mitosis,nuclear fission,germination,binary fission,Binary fission is a form of cell division in prokaryotic organisms that produces identical offspring.,binary fission,Question: What is a form of cell division in prokaryotic organisms that produces identical offspring?. Supporting Text: Binary fission is a form of cell division in prokaryotic organisms that produces identical offspring..,['mitosis' 'germination' 'nuclear fission' 'binary fission'],3,3,binary fission
400,What system consists of organs that break down food and absorb nutrients such as glucose?,skeletal system,cardiovascular system,physical system,digestive system,The digestive system consists of organs that break down food and absorb nutrients such as glucose. Organs of the digestive system are shown in Figure below . Most of the organs make up the gastrointestinal tract . The rest of the organs are called accessory organs .,digestive system,Question: What system consists of organs that break down food and absorb nutrients such as glucose?. Supporting Text: The digestive system consists of organs that break down food and absorb nutrients such as glucose. Organs of the digestive system are shown in Figure below . Most of the organs make up the gastrointestinal tract . The rest of the organs are called accessory organs ..,"['skeletal system' 'physical system' 'cardiovascular system'
 'digestive system']",3,3,digestive system
401,What is the transition from solid to vapor is called?,ionization,vaporization,deposition,sublimation,"Sublimation is the transition from solid to vapor phase. You may have noticed that snow can disappear into thin air without a trace of liquid water, or the disappearance of ice cubes in a freezer. The reverse is also true: Frost can form on very cold windows without going through the liquid stage. A popular effect is the making of “smoke” from dry ice, which is solid carbon dioxide. Sublimation occurs because the equilibrium vapor pressure of solids is not zero. Certain air fresheners use the sublimation of a solid to inject a perfume into the room. Moth balls are a slightly toxic example of a phenol (an organic compound) that sublimates, while some solids, such as osmium tetroxide, are so toxic that they must be kept in sealed containers to prevent human exposure to their sublimation-produced vapors.",sublimation,"Question: What is the transition from solid to vapor is called?. Supporting Text: Sublimation is the transition from solid to vapor phase. You may have noticed that snow can disappear into thin air without a trace of liquid water, or the disappearance of ice cubes in a freezer. The reverse is also true: Frost can form on very cold windows without going through the liquid stage. A popular effect is the making of “smoke” from dry ice, which is solid carbon dioxide. Sublimation occurs because the equilibrium vapor pressure of solids is not zero. Certain air fresheners use the sublimation of a solid to inject a perfume into the room. Moth balls are a slightly toxic example of a phenol (an organic compound) that sublimates, while some solids, such as osmium tetroxide, are so toxic that they must be kept in sealed containers to prevent human exposure to their sublimation-produced vapors..",['ionization' 'deposition' 'vaporization' 'sublimation'],3,3,sublimation
402,"In contrast with cnidarians, nematodes show a tubular morphology and circular cross-section. these animals are pseudocoelomates and show the presence of a complete digestive system with a distinct mouth and this?",stomach,mucus,hairs,anus,"present in all habitats with a large number of individuals of each species present in each. The free-living nematode, Caenorhabditis elegans has been extensively used as a model system in laboratories all over the world. Morphology In contrast with cnidarians, nematodes show a tubular morphology and circular cross-section. These animals are pseudocoelomates and show the presence of a complete digestive system with a distinct mouth and anus. This is in contrast with the cnidarians, where only one opening is present (an incomplete digestive system). The cuticle of Nematodes is rich in collagen and a carbohydrate-protein polymer called chitin, and forms an external “skeleton” outside the epidermis. The cuticle also lines many of the organs internally, including the pharynx and rectum. The epidermis can be either a single layer of cells or a syncytium, which is a multinucleated cell formed from the fusion of uninucleated cells. The overall morphology of these worms is cylindrical, as seen in Figure 28.31. The head is radially symmetrical. A mouth opening is present at the anterior end with three or six lips as well as teeth in some species in the form of cuticle extensions. Some nematodes may present other external modifications like rings, head shields, or warts. Rings, however, do not reflect true internal body segmentation. The mouth leads to a muscular pharynx and intestine, which leads to a rectum and anal opening at the posterior end. The muscles of nematodes differ from those of most animals: They have a longitudinal layer only, which accounts for the whip-like motion of their movement.",anus,"Question: In contrast with cnidarians, nematodes show a tubular morphology and circular cross-section. these animals are pseudocoelomates and show the presence of a complete digestive system with a distinct mouth and this?. Supporting Text: present in all habitats with a large number of individuals of each species present in each. The free-living nematode, Caenorhabditis elegans has been extensively used as a model system in laboratories all over the world. Morphology In contrast with cnidarians, nematodes show a tubular morphology and circular cross-section. These animals are pseudocoelomates and show the presence of a complete digestive system with a distinct mouth and anus. This is in contrast with the cnidarians, where only one opening is present (an incomplete digestive system). The cuticle of Nematodes is rich in collagen and a carbohydrate-protein polymer called chitin, and forms an external “skeleton” outside the epidermis. The cuticle also lines many of the organs internally, including the pharynx and rectum. The epidermis can be either a single layer of cells or a syncytium, which is a multinucleated cell formed from the fusion of uninucleated cells. The overall morphology of these worms is cylindrical, as seen in Figure 28.31. The head is radially symmetrical. A mouth opening is present at the anterior end with three or six lips as well as teeth in some species in the form of cuticle extensions. Some nematodes may present other external modifications like rings, head shields, or warts. Rings, however, do not reflect true internal body segmentation. The mouth leads to a muscular pharynx and intestine, which leads to a rectum and anal opening at the posterior end. The muscles of nematodes differ from those of most animals: They have a longitudinal layer only, which accounts for the whip-like motion of their movement..",['stomach' 'hairs' 'mucus' 'anus'],3,3,anus
403,The amount of heat required to raise a single mass unit of a substance by a single temperature unit is known as what?,solitary heat,temperature variation,specific gravity,specific heat,"When heat flows into an object, its thermal energy increases and so does its temperature. The amount of temperature increase depends on three things: 1) how much heat was added, 2) the size of the object, and 3) the material of which the object is made. When you add the same amount of heat to the same mass of different substances, the amount of temperature increase is different. Each substance has a specific heat, which is the amount of heat necessary to raise one mass unit of that substance by one temperature unit.",specific heat,"Question: The amount of heat required to raise a single mass unit of a substance by a single temperature unit is known as what?. Supporting Text: When heat flows into an object, its thermal energy increases and so does its temperature. The amount of temperature increase depends on three things: 1) how much heat was added, 2) the size of the object, and 3) the material of which the object is made. When you add the same amount of heat to the same mass of different substances, the amount of temperature increase is different. Each substance has a specific heat, which is the amount of heat necessary to raise one mass unit of that substance by one temperature unit..","['solitary heat' 'specific gravity' 'temperature variation'
 'specific heat']",3,3,specific heat
